filename,text
"texts\science\Учёный объяснил, могут ли грибки привести к зомби-апокалипсису.txt",ученый объяснять мочь грибок приводить зомби апокалипсис затем голова мертвый насекомое вырываться стебель производить спор падать здоровый муравей Ferra ученый обнаруживать множество разновидность Ophiocordyceps каждый который адаптироваться определенный условие хозяин Planet Today менее интересный грибок Massospora cicadina паразитировать периодический цикада насекомое проводить больший часть жизнь земля появляться поверхность раз год Planet Today базовый мера гигиена регулярный душ физический активность отказ использование чужой предмет личный гигиена позволять эффективно защищаться большинство грибковый инфекция Planet Today
"texts\science\Учёными озвучены ТОП-6 ключевых эпигенетических признаков того, что идет рак.txt",ученый озвучивать топ ключевой эпигенетический признак что идти рак ученый рассказывать дополнительный фактор влиять образование злокачественный опухоль организм медиапоток потеря активность противораковый ген чрезмерный метилирование днк UfacityNews ru эпигенетический реактивация древний вирусный последовательность интегрировать наш ген UfacityNews ru ремоделирование трехмерный структура ядро клетка последний новость
texts\science\Ученые выявили самый мощный вулканический выброс за последние 10 тыс. лет.txt,ученый выявлять самый мощный вулканический выброс последний тыс год недавний исследование российский ученый устанавливать извержение вулкан кикать происходить год н э становиться самый сильный последний десять тысяча год последний новость ход свой изыскание ученый обнаруживать аномальный кольцо дерево свидетельствовать катастрофический событие повлиять рост дерево ru анализировать вулканический пепел исследователь смочь определять объем выбрасывать материал первый два вулкан составлять примерно кубический километр объем выброс вулкан кикать достигать кубический километр URA Ru как утверждать хантемиров вероятность что аномальный кольцо появляться извержение вулкан кикать крайне высокий Lenta ru
texts\science\Ученые создали цифровые двойники пациентов для прогнозирования лечения рака.txt,ученый создавать цифровой двойник пациент прогнозирование лечение рак ученый продемонстрировать возможность точный воспроизведение клинический испытание новый метод лечение помощь цифровой двойник реальный пациент рак Ferra технология название FarrSight Twin основывать алгоритм использовать астроном открытие черный дыра Ferra использовать данный технология ученый смочь воспроизводить опубликовывать клинический испытание получать точный результат Ferra случай пациент получать рекомендовать лечение уровень ответ составлять значительно высокий сравнение для другой метод Ferra
texts\sport\«Он — рок-звезда!» Реакция Америки на грандиозное достижение Бобровского в НХЛ.txt,рок-звезда реакция америка грандиозный достижение бобровский нхл матч понадобиться сергей одерживать победа чемпионат собирать реакция северный америка уникальный достижение россиянин чемпионат хенрик лундквист бывший вратарь рейнджерс добираться й победа м матч чемпионат и первый тренер бобровский писать Florida Hockey Now чемпионат
"texts\sport\«Тампа» дома проиграла «Миннесоте», Капризов и Кучеров забросили шайбы.txt",тампа дома проигрывать миннесота каприз кучер забросить шайба хоккеист миннесота уайлд обыгрывать тампа бэй лайтнинг матч регулярный чемпионат национальный хоккейный лига нхл риа новость признанный первый звезда матч каприз отмечаться голевой передача риа новость состав лайтнинг отличаться брэндон хагель российский форвард никита кучер советский спорт голкипер тампа андрей василевский отражать бросок News ru
texts\sport\Бобровского признали первой звездой дня в НХЛ после рекордной 400-й победы.txt,бобровский признавать первый звезда день нхл рекордный й победа российский вратарь флорида пантерз сергей бобровский признавать первый звезда игровой день национальный хоккейный лига Bookmaker ratings ru четверг флорида одерживать победа нью йорк рейнджерс матч регулярный чемпионат бобровский отражать бросок матч тв флорида набирать очки девять матч лидировать атлантический дивизион РБК третий звезда признавать нино нидеррайтер виннипег джетс отмечаться два шайба победный гостевой игра сиэтл кракен риа новость матч центр
texts\sport\Болельщики «Спартака» скандировали «СКА - позор российского хоккея» на матче КХЛ.txt,болельщик спартак скандировать ска позор российский хоккей матч кхл болельщик московский спартак время матч континентальный хоккейный лига кхл петербургский ска скандировать обидный кричалка передавать чемпионат газета Ru первый период красный белый вести счет Legalbet фанат кричать ска позор российский хоккей чемпионат ска занимать е место западный конференция Bookmaker ratings ru
texts\sport\Воспитанник «Краснодара» Дашин В США ни разу не столкнулся с дискриминацией.txt,воспитанник краснодар дашин сша раз сталкиваться дискриминация воспитанник футбольный школа краснодар сейчас являться футболист команда университет южный иллинойс павел дашин рассказывать отношение россиянин сша Bookmaker ratings ru воспитанник академия краснодар выступать сша год риа новость текущий розыгрыш РПЛ краснодар находиться первый позиция очки News ru балл лидер отставать петербургский зенит замыкать тройка хороший московский локомотив который актив очко News ru
texts\sport\Гран При Мехико Элементы силовых установок.txt,гран мехико элемент силовой установка ход сезон команда без штрафной санкция мочь использовать четыре двигатель внутренний сгорание турбина MGU H MGU K два накопитель энергия блок управлять электроника ru размер штраф позиция гонщик стартовать последний ряд ru пятница FIA опубликовывать список элемент силовой установка установленный машина перед начало уик-энд мехико уже сегодня происходить очередной замена ru элемент силовой установка перед гран мехико гонщик команда мотор ICE TC MGUH MGUK ES CE EX ru
texts\sport\Евгений Кузнецов заработал три удаления за первые 10 минут матча со «Спартаком».txt,евгений кузнецов зарабатывать три удаление первый минута матч спартак российский хоккеист нападающий ска евгений кузнецов зарабатывать три удаление подряд матч спартак чемпионат девятый минута нападающий попадать скамейка штрафник задержка соперник Smotrim ru третий штраф кузнецов получать неспортивный поведение оскорбление судья Smotrim ru первый период завершаться счет польза красный белый спорт экспресс
texts\sport\Колапинто проигнорировал Брандла в Остине из-за слов о Пересе.txt,Fox Sports Mexico колапинто проигнорировать брандл остин слово перес летний аргентинский пилот формула команда уильямс франко колапинто рассказывать проходить репортер Sky Sports мартин брандл стартовый решетка гран-при сша чемпионат напоминать это ходить слух франко проигнорировать брандл слово серхио перес ред булл который колапинто подружиться чемпионат остин колапинто финишировать й позиция приносить команда один очко чемпионат
texts\sport\Мадридский «Реал» хочет вернуть ветерана в Ла Лигу из «Аль-Насра».txt,мадридский реал хотеть вернуть ветеран Ла лига аль насра мадридский реал сохранять интерес защитник саудовский аль насра эмерика лапорт BetOn испанский клуб считать лапорт мочь усиливать состав команда Legalbet действующий трудовой соглашение игрок саудовский клуб рассчитать лето год Legalbet согласно информация представлять портал Transfermarkt рыночный стоимость футболист составлять € млн чемпионат
texts\sport\Назван лучший игрок Ла Лиги в XXI веке.txt,месся роналд называть хороший игрок Ла лига XXI век первый место этот рейтинг ожидать занимать лионель месся евро футбол ру второй строчка располагаться экс полузащитник андрес иньеста чемпионат топ хороший футболист история барселона месся находиться система барселона по год чемпионат близкий матч барселона проводить суббота октябрь реал выезд чемпионат испания евро футбол ру
texts\sport\Получивший паспорт РФ защитник «Зенита» Сантос встанет на воинский учёт.txt,получать паспорт рф защитник зенит сантос вставать воинский учет защитник петербургский зенит дуглас сантос сегодня получать российский паспорт вставать воинский учет военкомат северный столица Life ru октябрь президент россия владимир путин подписывать указ согласно бразилец сантос предоставлять российский гражданство известие дуглас сантос выступать петербургский клуб лето год риа новость вместе зенит защитник становиться пятикратный чемпион страна двукратный обладатель национальный кубок пятикратный победитель суперкубок россия РБК
"texts\sport\Хэмилтон обратил внимание, что Ферстаппен использует спорные маневры.txt",хэмилтон обращать внимание ферстаппный использовать спорный маневр пилот команда мерседес льюис хэмилтон высказываться повод штраф ландо норрис макларен гран-при сша отмечать ситуация защита гонщик ред булл макс ферстаппен Bookmaker ratings ru льюис хэмилтон прокомментировать борьба макс ферстаппен ландо норрис последний круг гонка остин результат ландо получать секундный штраф обгон соперник предел трасса ru хэмилтон замечать ферстаппный вытеснять свой соперник сам оказываться предел трасса Bookmaker ratings ru макс выезд трасса оштрафовать быть Bookmaker ratings ru
"texts\sport\Экс-тренер Федерера Любич Думаю, что сам Джокович не знает, что сейчас делать.txt",экс тренер федерер любич думать сам джокович знать сейчас делать иван любичич бывший теннисист экс тренер роджер федерер высказываться будущее серб новак джокович Bookmaker ratings ru данный момент джокович занимать четвертый строчка рейтинг ATP GoTennis ru текущий сезон сербский теннисист впервые долгий время выигрывать турнир большой шлем мастерс GoTennis ru начало август новак становиться олимпийский чемпион GoTennis ru
